Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,vCPUs,Clock Speed(GHz),Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Average cost,EMR cost
C6GD Medium,c6gd.medium,"19,098.549",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0384 hourly,$0.0242 hourly,$0.0105 hourly,
C6GN Medium,c6gn.medium,"19,136.314",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 16 Gigabit,$0.0432 hourly,$0.0273 hourly,$0.0119 hourly,
M6G Medium,m6g.medium,"19,256.692",General purpose,,4 GiB,,1 vCPUs,,EBS only,Up to 10 Gigabit,$0.0385 hourly,$0.0241 hourly,$0.0144 hourly,
C6G Medium,c6g.medium,"19,743.337",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.034 hourly,$0.0214 hourly,$0.0089 hourly,
R6GD Medium,r6gd.medium,"19,801.98",Memory optimized,6.8 fps,8 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0576 hourly,$0.0363 hourly,$0.0177 hourly,
M6GD Medium,m6gd.medium,"19,811.134",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 10 Gigabit,$0.0452 hourly,$0.0285 hourly,$0.0149 hourly,
R6G Medium,r6g.medium,"19,841.27",Memory optimized,7.0 fps,8 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.0504 hourly,$0.0318 hourly,$0.014 hourly,
M7GD Medium,m7gd.medium,"24,319.066",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0534 hourly,$0.0336 hourly,$0.0175 hourly,
C7G Medium,c7g.medium,"24,828.271",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0363 hourly,$0.0239 hourly,$0.0129 hourly,
C7GD Medium,c7gd.medium,"24,917.461",Compute optimized,,2 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0454 hourly,$0.0286 hourly,$0.0153 hourly,
M7G Medium,m7g.medium,"25,521.055",General purpose,,4 GiB,,1 vCPUs,2.5 GHz,EBS only,Up to 12.5 Gigabit,$0.0408 hourly,$0.027 hourly,$0.0177 hourly,
R7GD Medium,r7gd.medium,"25,953.802",Memory optimized,10.0 fps,8 GiB,,1 vCPUs,2.5 GHz,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.068 hourly,$0.0428 hourly,$0.0186 hourly,
M5AD Large,m5ad.large,"25,994.281",General purpose,9.7 fps,8 GiB,2667 MT/s,2 vCPUs,2.5 GHz,75 GB NVMe SSD,Up to 10 Gigabit,$0.103 hourly,$0.065 hourly,$0.0455 hourly,
R5A Large,r5a.large,"26,305.406",Memory optimized,9.6 fps,16 GiB,3200 MT/s,2 vCPUs,2.5 GHz,EBS only,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.0482 hourly,
